Time,Price,Side
02/23/23 21:06:31,1652.51,Short
02/23/23 21:07:29,1652.5,Short
02/23/23 21:08:26,1652.4,Short
02/23/23 21:09:37,1652.12,Short
02/23/23 21:10:34,1652.72,Short
02/23/23 21:11:29,1652.8,Short
02/23/23 21:12:24,1652.89,Short
02/23/23 21:13:35,1652.93,Short
02/23/23 21:14:30,1652.91,Short
02/23/23 21:15:25,1652.83,Short
02/23/23 21:16:38,1653.08,Short
02/23/23 21:17:35,1653.49,Short
02/23/23 21:18:32,1655.15,Short
02/23/23 21:19:30,1655.47,Short
02/23/23 21:20:26,1655.46,Short
02/23/23 21:21:23,1655.33,Short
02/23/23 21:22:35,1654.55,Short
02/23/23 21:23:33,1653.56,Short
02/23/23 21:24:27,1653.35,Short
02/23/23 21:25:21,1653.03,Short
02/23/23 21:26:31,1653.02,Short
02/23/23 21:27:27,1653.17,Short
02/23/23 21:28:43,1652.02,Short
02/23/23 21:29:22,1651.52,Short
02/23/23 21:30:34,1651.2,Short
02/23/23 21:31:30,1651.91,Short
02/23/23 21:32:26,1650.43,Short
02/23/23 21:33:24,1651.02,Short
02/23/23 21:34:35,1650.13,Short
02/23/23 21:35:29,1651.12,Short
02/23/23 21:36:25,1650.33,Short
02/23/23 21:37:36,1650.29,Short
02/23/23 21:38:32,1650.23,Short
02/23/23 21:39:26,1649.2,Short
02/23/23 21:40:21,1649.39,Short
02/23/23 21:41:34,1650.87,Short
02/23/23 21:42:28,1649.58,Short
02/23/23 21:43:25,1649.33,Short
02/23/23 21:44:35,1649.2,Short
02/23/23 21:45:29,1649.62,Short
02/23/23 21:46:24,1649.6,Short
02/23/23 21:47:35,1648.48,Short
02/23/23 21:48:31,1648.33,Short
02/23/23 21:49:26,1647.96,Short
02/23/23 21:50:39,1646.56,Short
02/23/23 21:51:34,1648.32,Short
02/23/23 21:52:28,1647.8,Short
02/23/23 21:53:23,1646.6,Short
02/23/23 21:54:35,1646.81,Short
02/23/23 21:55:29,1645.3,Short
02/23/23 21:56:25,1645.94,Short
02/23/23 21:57:35,1645.6,Short
02/23/23 21:58:30,1644.73,Short
02/23/23 21:59:25,1644.3,Short
02/23/23 22:04:39,1641.54,Short
02/23/23 22:05:36,1642.01,Short
02/23/23 22:06:30,1644.63,Short
02/23/23 22:07:26,1642.01,Short
