time,Open,High,Low,Close,Volume
1610856000000,1242.98,1252.40,1213.20,1216.75,224275.978
1610863200000,1216.76,1229.80,1169.24,1182.78,403468.734
1610870400000,1182.67,1213.86,1165.00,1181.93,426081.244
1610877600000,1181.87,1230.00,1168.34,1220.33,310344.891
1610884800000,1220.39,1229.10,1197.76,1200.46,268151.507
1610892000000,1200.42,1249.31,1193.00,1242.87,374513.260
1610899200000,1243.00,1253.00,1226.38,1234.89,256693.300
1610906400000,1234.88,1243.51,1210.77,1219.79,185478.373
1610913600000,1219.79,1269.00,1219.78,1263.99,248342.615
1610920800000,1264.00,1272.28,1225.00,1233.71,224993.880
1610928000000,1233.61,1249.28,1227.49,1241.56,191711.529
1610935200000,1241.42,1245.30,1183.20,1194.73,326729.492
1610942400000,1194.74,1211.98,1188.26,1208.93,219993.801
1610949600000,1209.00,1227.78,1196.00,1220.71,193810.153
1610956800000,1220.70,1236.41,1216.01,1231.92,182689.547
1610964000000,1231.91,1232.15,1210.97,1227.37,198959.890
1610971200000,1227.38,1257.76,1225.26,1245.76,290874.480
1610978400000,1245.71,1258.32,1221.66,1242.03,295230.161
1610985600000,1241.96,1250.00,1213.33,1220.86,240925.740
1610992800000,1220.86,1235.51,1216.08,1228.95,137756.119
1611000000000,1229.09,1238.28,1224.14,1235.16,98700.437
1611007200000,1235.17,1265.96,1235.04,1262.99,185423.728
1611014400000,1263.00,1343.02,1255.51,1323.70,629957.257
1611021600000,1323.51,1350.00,1318.45,1325.59,453939.754
1611028800000,1325.85,1336.08,1307.00,1324.71,297364.270
1611036000000,1324.92,1392.40,1320.00,1382.70,490372.980
1611043200000,1382.61,1405.79,1369.00,1383.97,547475.065
1611050400000,1383.97,1438.00,1365.00,1433.14,649505.978
1611057600000,1432.84,1444.05,1382.80,1419.96,722744.200
1611064800000,1419.77,1427.20,1382.93,1417.33,428785.445
1611072000000,1417.60,1443.82,1408.09,1419.52,506358.047
1611079200000,1419.53,1419.97,1337.00,1362.74,704784.855
1611086400000,1362.88,1423.16,1352.00,1411.44,447273.522
1611093600000,1411.34,1428.98,1366.15,1367.51,410282.971
1611100800000,1367.38,1411.38,1357.38,1388.12,396855.630
1611108000000,1388.12,1405.07,1340.48,1345.81,502190.141
1611115200000,1345.66,1371.32,1316.00,1369.74,468903.495
1611122400000,1369.71,1381.55,1340.47,1372.07,300184.345
1611129600000,1371.91,1375.55,1302.40,1313.16,492630.781
1611136800000,1313.12,1317.36,1252.00,1267.40,918173.057
1611144000000,1267.36,1312.00,1236.35,1311.50,721010.336
1611151200000,1311.57,1322.00,1268.21,1275.76,453055.743
1611158400000,1275.67,1320.84,1250.45,1313.57,572593.086
1611165600000,1313.56,1352.49,1303.06,1347.63,347733.261
1611172800000,1347.32,1357.85,1306.40,1323.40,320155.330
1611180000000,1323.47,1391.80,1314.59,1379.24,350787.993
1611187200000,1379.23,1391.00,1332.09,1340.47,374112.347
1611194400000,1340.21,1345.16,1310.00,1328.16,350681.160
1611201600000,1328.16,1338.46,1279.60,1306.48,432743.013
1611208800000,1306.40,1325.17,1300.84,1310.48,235310.402
1611216000000,1310.44,1314.04,1233.00,1262.47,812861.757
1611223200000,1262.44,1268.00,1225.77,1237.98,629151.729
1611230400000,1237.63,1261.46,1190.18,1238.60,845833.030
1611237600000,1238.80,1246.65,1185.40,1189.58,851528.765
1611244800000,1189.58,1222.00,1166.14,1197.58,741389.328
1611252000000,1197.58,1240.00,1183.55,1232.05,353380.024
1611259200000,1232.03,1236.04,1171.20,1172.44,346033.809
1611266400000,1172.38,1173.80,1083.40,1111.23,847182.151
